id,left,top,right,bottom
3354,849114.896500000031665,1803586.000299999956042,857114.896500000031665,1792586.000299999956042
3359,849114.896500000031665,1748586.000299999956042,857114.896500000031665,1737586.000299999956042
3361,849114.896500000031665,1726586.000299999956042,857114.896500000031665,1715586.000299999956042
3364,849114.896500000031665,1693586.000299999956042,857114.896500000031665,1682586.000299999956042
3379,849114.896500000031665,1528586.000299999956042,857114.896500000031665,1517586.000299999956042
3383,849114.896500000031665,1484586.000299999956042,857114.896500000031665,1473586.000299999956042
3410,857114.896500000031665,1891586.000299999956042,865114.896500000031665,1880586.000299999956042
3411,857114.896500000031665,1880586.000299999956042,865114.896500000031665,1869586.000299999956042
3412,857114.896500000031665,1869586.000299999956042,865114.896500000031665,1858586.000299999956042
3413,857114.896500000031665,1858586.000299999956042,865114.896500000031665,1847586.000299999956042
3414,857114.896500000031665,1847586.000299999956042,865114.896500000031665,1836586.000299999956042
3420,857114.896500000031665,1781586.000299999956042,865114.896500000031665,1770586.000299999956042
3422,857114.896500000031665,1759586.000299999956042,865114.896500000031665,1748586.000299999956042
3427,857114.896500000031665,1704586.000299999956042,865114.896500000031665,1693586.000299999956042
3429,857114.896500000031665,1682586.000299999956042,865114.896500000031665,1671586.000299999956042
3436,857114.896500000031665,1605586.000299999956042,865114.896500000031665,1594586.000299999956042
3438,857114.896500000031665,1583586.000299999956042,865114.896500000031665,1572586.000299999956042
3439,857114.896500000031665,1572586.000299999956042,865114.896500000031665,1561586.000299999956042
3447,857114.896500000031665,1484586.000299999956042,865114.896500000031665,1473586.000299999956042
3448,857114.896500000031665,1473586.000299999956042,865114.896500000031665,1462586.000299999956042
3452,857114.896500000031665,1429586.000299999956042,865114.896500000031665,1418586.000299999956042
3475,865114.896500000031665,1880586.000299999956042,873114.896500000031665,1869586.000299999956042
3476,865114.896500000031665,1869586.000299999956042,873114.896500000031665,1858586.000299999956042
3477,865114.896500000031665,1858586.000299999956042,873114.896500000031665,1847586.000299999956042
3481,865114.896500000031665,1814586.000299999956042,873114.896500000031665,1803586.000299999956042
3482,865114.896500000031665,1803586.000299999956042,873114.896500000031665,1792586.000299999956042
3484,865114.896500000031665,1781586.000299999956042,873114.896500000031665,1770586.000299999956042
3493,865114.896500000031665,1682586.000299999956042,873114.896500000031665,1671586.000299999956042
3500,865114.896500000031665,1605586.000299999956042,873114.896500000031665,1594586.000299999956042
3502,865114.896500000031665,1583586.000299999956042,873114.896500000031665,1572586.000299999956042
3503,865114.896500000031665,1572586.000299999956042,873114.896500000031665,1561586.000299999956042
3505,865114.896500000031665,1550586.000299999956042,873114.896500000031665,1539586.000299999956042
3509,865114.896500000031665,1506586.000299999956042,873114.896500000031665,1495586.000299999956042
3510,865114.896500000031665,1495586.000299999956042,873114.896500000031665,1484586.000299999956042
3538,873114.896500000031665,1891586.000299999956042,881114.896500000031665,1880586.000299999956042
3540,873114.896500000031665,1869586.000299999956042,881114.896500000031665,1858586.000299999956042
3541,873114.896500000031665,1858586.000299999956042,881114.896500000031665,1847586.000299999956042
