선박용도(통계용),사건명,위도,경도
화물선,일반화물선 신한페리호 기관손상사건,37.32333333,126.3888889
화물선,카페리선 신한페리호 기관손상사건,37.08333333,126.2666667
화물선,카페리선 해국페리2호 운항저해사건,34.74833333,126.3133333
화물선,일반화물선 비비엘 침수사건,37.49777778,129.1422222
화물선,냉동냉장선 탕밍호 추진축계손상사건,35.05361111,129.0255556
화물선,일반화물선 No.3 워터비스(No.3 WATER VIS) 화재사건,38.21055556,128.5958333
화물선,폐수운반선 5대보호 해양오염사건,35.5,129.3811111
화물선,카페리선 송림페리호 부유물감김사건,35.57222222,126.2836111
화물선,산적화물선 153백령호 운항저해사건,37.53944444,124.9461111
화물선,산적화물선 장호영호 기관손상사건,34.9425,129.0063889
화물선,컨테이너선 싸왓디 방콕호 선원사망사건,12.58,110.35
화물선,컨테이너운반선 워나우 마스터 선원사망사건,37.44194444,126.605
화물선,"액체화학품산적운반선 한유 프론티어, 중국어선 선명무 충돌사건",37.78333333,122.8666667
화물선,"일반화물선 삼성5호, 어선 제201인성호 충돌사건",35.44722222,125.8944444
화물선,일반화물선 153백령호 좌초사건,37.82944444,124.7169444
화물선,카페리선 항로페리호 어선 대운호 충돌사건,34.70611111,127.4091667
화물선,카페리선 항로페리호 부선 성희3호 충돌사건,34.76805556,126.1294444
화물선,화물선 오리엔탈77 양식장 손상사건,32.40055556,126.4311111
화물선,"여객선 한일골드스텔라호, 모래운반선 제107대양호 충돌사건",33.52388889,126.5394444
화물선,냉동운반선 바론(Ballon) 기관손상사건,35.06333333,129.0797222
화물선,"어선 강영호, 컨테이너운반선 리라범 충돌사건",33.46666667,126.1166667
화물선,"원양어선 소브레멘니크1, 2호 운항저해사건",35.13166667,128.675
화물선,화물선 거영호프호 기관손상사건,35.25,129.55
화물선,케미컬운반선 거영호프호 추진축계손상사건,34.78805556,129.5888889
화물선,화물선 에이와마루3호 폭발사건,33.75,135.1333333
화물선,일반화물선 성우제주호.일반화물선 17쌍용호 충돌사건,33.5225,126.5388889
화물선,벌크선 오션윈 운항저해사건,34.82944444,128.7513889
화물선,어선 2007연흥호.냉동운반선 씽 유에 충돌사건,34.59333333,125.6
화물선,예인선 제305해송호의 피예인부선 용덕8000호.일반화물선 7혜민호 충돌사고,33.52527778,126.5419444
화물선,일반화물선 두산11호.어선 107신성호 충돌사건,33.61666667,126.9666667
화물선,카페리선 골드카페리호 조타장치손상사건,37.33333333,125.2666667
화물선,화물선 장호윈호(JANGHO WIN)·원양어선 이리다(IRIDA) 충돌사건,35.06666667,129.0333333
화물선,카페리선 미래7호 화물차기사부상사건,37.59111111,125.7827778
화물선,일반화물선 아사카호·일반화물선 장호영호 충돌사건,35.20333333,128.5958333
화물선,화물선 제5금진호 어선 제203남해호 충돌사건,33.66666667,126.6166667
화물선,액체화학품산적운반선 한림에이스호 선원사망사건,34.87361111,127.7811111
화물선,철강제운반선 에스엠5 기관손상사건,35.15,130.1333333
화물선,"화물선 13금진호, 어선 안성호 충돌사건",35.57083333,129.5330556
화물선,화물선 13금진호 어선 2016명천호 충돌사건,34.28472222,126.3175
화물선,액체확학품산적운반선 우남글로리호 부두접촉사건,37.01888889,126.3513889
화물선,석유제품운반선 대한7호 · 어선 303오룡호 충돌사건,35.08361111,129.1005556
화물선,화물선 삼진럭키호 어선 제87화평호 충돌사건,33.75083333,126.8827778
화물선,화물선 해양호 조타기 손상사건,35.55027778,129.635
화물선,"폐기물운반선 해양호, 어선 제201대원호 충돌사건",35.7875,129.9841667
화물선,일반화물선 아사카호·일반화물선 장호영호 충돌사건,35.20333333,128.5958333
화물선,폐기물운반선 해양호 선원사망사건,35.48388889,129.3852778
화물선,모래운반선 산수2호 해양오염사건,34.77361111,126.3952778
화물선,모래운반선 산수2호 좌초사건,34.07583333,126.1236111
화물선,화물선 스카이지니 · 차도선 강승페리 충돌사건,35.06527778,128.7902778
화물선,화물선 스카이지니(SKY GINI)호 화재사건,35.17638889,128.5880556
화물선,냉동운반선 레이(REY)호 해양오염사건,35.03972222,129.0411111
화물선,일반화물선 가오신8 해양오염사건,34.74166667,127.8058333
화물선,"예인선 울산103호,산적화물선 동일호 충돌사건",34.785,126.3872222
화물선,일반화물선 삼진럭키3호·어선 성진호의 피예인어선 제503해진호 충돌사건,33.23611111,126.565
화물선,일반화물선 삼진럭키3호 어선 제209창남호 충돌사건,33.23472222,126.5680556
화물선,석유제품운반선 한유코리아호.일반화물선 삼진럭키3호 충돌사건,33.68333333,126.8833333
화물선,일반화물선 카이다 해양오염사건,34.73722222,127.7852778
화물선,"어선 제25일성호, 냉동운반선 스바루 충돌사건",35.85972222,129.7633333
화물선,액화석유가스운반선 제3에스제이가스호.일반화물선 난시2호 충돌사건,34.05166667,126.8352778
화물선,"일반화물선 3진명호, 어선 제15진성호 충돌사건",35.81777778,129.5883333
화물선,화물선 에이와마루5호 · 화물선 빅토리아 트레이더호 충돌사건,35.28333333,129.4
화물선,일반화물선 잔이 기관손상사건,36.90027778,125.6888889
화물선,"어선 제36태극호, 컨테이너운반선 아오티머스크 충돌사건",33.88333333,126.1
화물선,일반화물선 세마1호 해양오염사건,34.79111111,126.3463889
화물선,산물선 사야카호 좌초사건,35.10583333,129.0838889
화물선,"어선 5백성호, 일반화물선 슈호 마루 충돌사건",35.9525,126.4413889
화물선,예인선 도양호의 피예인부선 한강1001호.일반화물선 밍헤 충돌사건,34.87361111,127.7744444
화물선,"일반화물선 제이엔에스3, 예인선 전남912호 충돌사건",34.78083333,126.4208333
화물선,일반화물선 에스케이1호 기관손상사건,33.69333333,126.3066667
화물선,일반화물선 하이유 · 일반화물선 오션스타 충돌,35.0575,129.0238889
