선박용도(,사건명,위도,경도
어선,어선 선명무 운항저해사건,37.104166669999998,126.680000000000007
어선,어선 남양호 기타사건,37.106666670000003,126.614999999999995
어선,어선 위성5호 기관손상사건,37.154166670000002,126.606944400000003
어선,어선 덕성1호 침수사건,37.186666670000001,126.650000000000006
어선,어선 재웅5호 침수사건,37.110833329999998,126.653055600000002
어선,어선 구사호 기관손상사건,37.026944440000001,126.448611099999994
어선,어선 준호 기관손상사건,37.335277779999998,126.619166699999994
어선,어선 남양호 기관손상사건,37.220555560000001,126.546388899999997
어선,어선 등대호 기관손상사건,37.033333329999998,126.711111099999997
어선,예인선 덕정3호 등 2척 침수사건,37.457500000000003,126.601666699999996
어선,무등록선 명성7호 운항저해사건,37.115833330000001,126.676666699999998
어선,무등록선 선명무 기관손상사건,37.329722220000001,126.270833300000007
어선,모터보트 찬규호 기관손상사건,37.350000000000001,126.416666699999993
어선,무등록선 선명무 기타사건,37.441388889999999,126.590277799999996
어선,무등록선 선명무 좌초사건,37.126666669999999,126.298888899999994
어선,어선 광명호 침수사건,37.186666670000001,126.652500000000003
어선,어선 덕성3호 기관손상사건,37.101666670000000,126.618888900000002
어선,어선 계원호 침몰사건,37.116388890000003,126.677777800000001
어선,어선 신성5호 침수사건,37.049999999999997,126.716666700000005
어선,어선 토박2호 좌초사건,37.203611109999997,126.624722199999994
어선,무등록선 선명무 기타사건,37.331111110000002,126.658611100000002
어선,어선 광산2호 전복사건,37.116388890000003,126.677777800000001
어선,어선 그린호 침수사건,37.116666670000001,126.679722200000000
어선,어선 풍어호 운항저해사건,37.098611110000000,126.586666699999995
어선,어선 해운호 기관손상사건,37.057777780000002,126.704166700000002
어선,어선 황금호 기관손상사건,37.180555560000002,126.385555600000004
어선,어선 우주호 침수사건,37.316666669999996,126.400000000000006
어선,어선 바다호 좌초사건,37.116944439999997,126.676666699999998
어선,어선 민성호 운항저해사건,37.286666670000002,126.443055599999994
어선,어선 바다호 운항저해사건,37.133333329999999,126.551111100000000
어선,어선 목향호 침몰사건,37.184722219999998,126.532222200000007
어선,어선 대명호 침수사건,37.504166669999996,126.325555600000001
어선,어선 유성호 침수사건,37.026388890000000,126.579999999999998
어선,어선 덕성호 좌초사건,37.088333329999998,126.618888900000002
어선,어선 우주호 기관손상사건,37.316666669999996,126.442499999999995
어선,낚시어선 만복호 기관손상사건,37.008055560000003,126.730833300000000
