id,left,top,right,bottom
204,869163.511000000056811,1927064.378900000127032,872163.511000000056811,1924064.378900000127032
206,869163.511000000056811,1921064.378900000127032,872163.511000000056811,1918064.378900000127032
207,869163.511000000056811,1918064.378900000127032,872163.511000000056811,1915064.378900000127032
208,869163.511000000056811,1915064.378900000127032,872163.511000000056811,1912064.378900000127032
210,869163.511000000056811,1909064.378900000127032,872163.511000000056811,1906064.378900000127032
212,869163.511000000056811,1903064.378900000127032,872163.511000000056811,1900064.378900000127032
213,869163.511000000056811,1900064.378900000127032,872163.511000000056811,1897064.378900000127032
214,869163.511000000056811,1897064.378900000127032,872163.511000000056811,1894064.378900000127032
220,872163.511000000056811,1951064.378900000127032,875163.511000000056811,1948064.378900000127032
226,872163.511000000056811,1933064.378900000127032,875163.511000000056811,1930064.378900000127032
227,872163.511000000056811,1930064.378900000127032,875163.511000000056811,1927064.378900000127032
229,872163.511000000056811,1924064.378900000127032,875163.511000000056811,1921064.378900000127032
230,872163.511000000056811,1921064.378900000127032,875163.511000000056811,1918064.378900000127032
233,872163.511000000056811,1912064.378900000127032,875163.511000000056811,1909064.378900000127032
237,872163.511000000056811,1900064.378900000127032,875163.511000000056811,1897064.378900000127032
239,872163.511000000056811,1894064.378900000127032,875163.511000000056811,1891064.378900000127032
244,875163.511000000056811,1951064.378900000127032,878163.511000000056811,1948064.378900000127032
245,875163.511000000056811,1948064.378900000127032,878163.511000000056811,1945064.378900000127032
252,875163.511000000056811,1927064.378900000127032,878163.511000000056811,1924064.378900000127032
254,875163.511000000056811,1921064.378900000127032,878163.511000000056811,1918064.378900000127032
256,875163.511000000056811,1915064.378900000127032,878163.511000000056811,1912064.378900000127032
257,875163.511000000056811,1912064.378900000127032,878163.511000000056811,1909064.378900000127032
258,875163.511000000056811,1909064.378900000127032,878163.511000000056811,1906064.378900000127032
259,875163.511000000056811,1906064.378900000127032,878163.511000000056811,1903064.378900000127032
260,875163.511000000056811,1903064.378900000127032,878163.511000000056811,1900064.378900000127032
262,875163.511000000056811,1897064.378900000127032,878163.511000000056811,1894064.378900000127032
263,875163.511000000056811,1894064.378900000127032,878163.511000000056811,1891064.378900000127032
267,878163.511000000056811,1954064.378900000127032,881163.511000000056811,1951064.378900000127032
280,878163.511000000056811,1915064.378900000127032,881163.511000000056811,1912064.378900000127032
281,878163.511000000056811,1912064.378900000127032,881163.511000000056811,1909064.378900000127032
283,878163.511000000056811,1906064.378900000127032,881163.511000000056811,1903064.378900000127032
284,878163.511000000056811,1903064.378900000127032,881163.511000000056811,1900064.378900000127032
287,878163.511000000056811,1894064.378900000127032,881163.511000000056811,1891064.378900000127032
296,881163.511000000056811,1939064.378900000127032,884163.511000000056811,1936064.378900000127032
299,881163.511000000056811,1930064.378900000127032,884163.511000000056811,1927064.378900000127032
300,881163.511000000056811,1927064.378900000127032,884163.511000000056811,1924064.378900000127032
302,881163.511000000056811,1921064.378900000127032,884163.511000000056811,1918064.378900000127032
305,881163.511000000056811,1912064.378900000127032,884163.511000000056811,1909064.378900000127032
310,881163.511000000056811,1897064.378900000127032,884163.511000000056811,1894064.378900000127032
311,881163.511000000056811,1894064.378900000127032,884163.511000000056811,1891064.378900000127032
316,884163.511000000056811,1951064.378900000127032,887163.511000000056811,1948064.378900000127032
324,884163.511000000056811,1927064.378900000127032,887163.511000000056811,1924064.378900000127032
326,884163.511000000056811,1921064.378900000127032,887163.511000000056811,1918064.378900000127032
328,884163.511000000056811,1915064.378900000127032,887163.511000000056811,1912064.378900000127032
329,884163.511000000056811,1912064.378900000127032,887163.511000000056811,1909064.378900000127032
332,884163.511000000056811,1903064.378900000127032,887163.511000000056811,1900064.378900000127032
334,884163.511000000056811,1897064.378900000127032,887163.511000000056811,1894064.378900000127032
335,884163.511000000056811,1894064.378900000127032,887163.511000000056811,1891064.378900000127032
339,887163.511000000056811,1954064.378900000127032,890163.511000000056811,1951064.378900000127032
340,887163.511000000056811,1951064.378900000127032,890163.511000000056811,1948064.378900000127032
346,887163.511000000056811,1933064.378900000127032,890163.511000000056811,1930064.378900000127032
347,887163.511000000056811,1930064.378900000127032,890163.511000000056811,1927064.378900000127032
348,887163.511000000056811,1927064.378900000127032,890163.511000000056811,1924064.378900000127032
349,887163.511000000056811,1924064.378900000127032,890163.511000000056811,1921064.378900000127032
350,887163.511000000056811,1921064.378900000127032,890163.511000000056811,1918064.378900000127032
351,887163.511000000056811,1918064.378900000127032,890163.511000000056811,1915064.378900000127032
353,887163.511000000056811,1912064.378900000127032,890163.511000000056811,1909064.378900000127032
356,887163.511000000056811,1903064.378900000127032,890163.511000000056811,1900064.378900000127032
357,887163.511000000056811,1900064.378900000127032,890163.511000000056811,1897064.378900000127032
