선박용도(통계용),사건명,위도,경도
예인선,예인선 덕산202호 기관손상사건,34.285,126.0066667
예인선,예인선 정우2호 침수사건,34.80472222,126.3638889
예인선,예인선 이순신호 기관손상사건,34.78333333,126.35
예인선,"예인선 덕산202호, 어선 1명진호 충돌사건",34.88,126.39
예인선,예인선 흥우2700호 · 예인선 광일T-3호 충돌사건,35.09416667,129.0375
예인선,예인선 아주티-1호 기관손상사건,36.66666667,126.1
예인선,예인선 일광103호 기관손상사건,35.98333333,129.5833333
예인선,예인선 일광103호 해양오염사건,35.08972222,129.1116667
예인선,"예인선 동명7호, 어선 창흥호 충돌사건",37.89388889,128.8311111
예인선,예인선 제1세진의 피예인부선 아주호·어선 혜정호 충돌사건,34.15555556,126.1483333
예인선,예인선 광양호 침몰사건,35.27805556,126.1166667
예인선,예인선 102청룡호 해양오염사건,37.00527778,126.4516667
예인선,예인선 107성우호 부유물감김사건,33.9,126.35
예인선,예인선 707대진호 해양오염사건,34.73861111,127.7358333
예인선,예인선 삼호T-1호·예인선 707대진호 충돌사건,34.91444444,128.6172222
예인선,예인선 3001삼양호,37.49555556,129.1391667
예인선,예선 남영호의 피예인부선 장원5001호 어선 3만성호 충돌사건,33.09444444,128.6780556
예인선,예인선 성덕2호 기관손상사건,35.49416667,126.1683333
예인선,예인선 아주티-1호 기관손상사건,36.99805556,126.7216667
예인선,예인선 1003종영호의 피예인부선 종영5005호의 방파제 접촉사건,34.86833333,128.4697222
예인선,예선 강남7호 기관손상사건,35.01,128.9491667
예인선,"예인선 성덕2호, 피예인 크레인부선 영광시-3호 침몰사건",37.94083333,125.8180556
예인선,예인선 대인호 기관손상사건,34.8075,126.3583333
예인선,예선 대인호 기관손상사건,37.04055556,126.2755556
예인선,"예인선 용문호, 어선 500근해호 충돌사건",36.08333333,129.5666667
예인선,예인선 303형제호의 피예인부선 보령2003호 · 전마선 이동레저12호 충돌사건,35.25944444,129.2505556
예인선,예인선 303형제호 해양오염사건,35.09444444,129.0347222
예인선,예인선 영광티1호 침몰사건,34.66666667,125.4666667
예인선,예인선 일광3호의 피예인부선 5001명성호 교각 접촉사건,34.88388889,128.4733333
예인선,부선 105월미호 운항저해사건,37.69583333,126.3813889
예인선,예인선 금호스타호 해양오염사건,35.15,126.3666667
예인선,예인선 신정101호의 피예인부선 제7001신정호·예인선 재영88호의 피예인부선 세진3000호 충돌사건,35.0075,128.9366667
예인선,예인선 대해1호 외 7척 기타사건,35.095,129.0336111
예인선,예인선 2002해영호 침수사건,36.56944444,126.4238889
예인선,"예인선 한성1호의 피예인부선 현재1호, 어선 대원호 충돌사건",36.34055556,126.4161111
예인선,예인선 금창601호 기관손상사건,34.25,126.25
